,resistive_heating,stes_heating,stes_hp_direct
0,0.0,0.0,160.7649968832634
1,0.0,0.0,155.47191785999618
2,0.0,0.0,157.38316212184804
3,0.0,0.0,153.86252810082897
4,0.0,0.0,150.91935475567777
5,0.0,0.0,151.58789789352073
6,0.0,0.0,141.8532205019635
7,0.0,0.0,142.5151381813015
8,0.0,0.0,141.3320739458016
9,0.0,0.0,132.5808488436582
10,0.0,0.0,134.69155052908778
11,0.0,0.0,154.73477799392757
12,0.0,0.0,156.88052500765986
13,0.0,3.541524984621816,166.54755504412626
14,0.0,0.0,165.5534117732503
15,0.0,0.0,146.17627674520972
16,0.0,0.0,142.91637987324117
17,0.0,8.542643395951453,151.02115974523815
18,0.0,24.307299641077964,139.62114522122525
19,0.0,9.633660564481598,148.87149924997095
20,0.0,0.0,153.5547682244571
21,0.0,0.0,156.7020489025557
22,0.0,0.0,146.9258086015278
23,0.0,0.0,141.1694651205744
24,0.0,0.0,139.23232427187776
25,0.0,0.0,137.98098801939597
26,0.0,0.0,134.21194699907372
27,0.0,0.0,137.3324233234587
28,0.0,0.0,133.2925634492493
29,0.0,0.0,149.0075164962486
30,0.0,0.0,144.3802676317332
31,0.0,0.0,140.35519107105478
32,0.0,0.0,125.55230310405086
33,0.0,0.0,137.313404100539
34,0.0,0.0,146.5976110259744
35,0.0,0.0,150.4864989955519
36,0.0,0.0,152.90560660779371
37,0.0,0.0,157.51009832426578
38,0.0,0.0,143.61352375535458
39,0.0,0.0,148.40778696705084
40,0.0,0.0,151.37612454333527
41,0.0,0.0,148.57894770661363
42,0.0,0.0,159.2593085863017
43,0.0,7.909184372034095,153.46334639575537
44,0.0,0.0,153.99422414321128
45,0.0,0.0,148.49091280702706
46,0.0,0.0,142.24651906203428
47,0.0,0.0,157.29026537752037
48,0.0,0.0,139.34170464351698
49,0.0,0.0,137.68745591172674
50,0.0,0.0,148.8771655610484
51,0.0,0.0,142.767061077632
52,0.0,0.0,137.59708667539297
53,0.0,0.0,151.51485513005298
54,0.0,0.0,151.9150522841687
55,0.0,0.0,146.47607152827132
56,0.0,0.0,138.35675292475662
57,0.0,0.0,142.98684050875198
58,0.0,0.0,154.32675384039993
59,0.0,0.0,158.22757237723616
60,0.0,0.0,159.91141265343293
61,0.0,0.0,152.2944227460984
62,0.0,0.0,151.14391162578474
63,0.0,0.0,165.53197045549337
64,0.0,190.68409528712448,0.0
65,0.0,195.54809116970682,0.0
