ID,Q_Age,Q_Gender,Q_City,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q7,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q8_10,Q8_11,Q8_12,Q8_13,Q8_14,Q8_15,Q9,Q10,Q11,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q13_1,Q13_2,Q13_3,Q13_4,Q13_5,Q13_6,Q13_7,Q13_8,Q13_9,Q13_10,Q13_11,Q14,Q15,Q16,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q18_7,Q18_8,Q19,Q20,Q21,Q22,Q23,Q24,Q25,Q26,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q27_6,Q27_7,Q27_8,Q27_9,Q27_10,Q28,Q29,Q30,Q31,Q32
18,71,1,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,2,6,5,2,4,5,1,2,NA,1,1,0,1,0,0,0,0,0,0,4,2,NA,NA,3
19,56,2,7,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,4,1,NA,NA,NA,NA,NA,NA,1,NA,2,5,7,4,4,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,2
20,25,2,5,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,7,2,NA,NA,NA,NA,2,NA,NA,NA,6,3,3,4,2,1,2,NA,1,1,0,0,0,0,1,0,0,0,4,2,NA,NA,6
23,65,2,5,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,7,1,NA,NA,NA,NA,NA,NA,1,NA,6,4,2,4,4,1,2,NA,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,1
24,59,2,7,2,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,1,1,6,3,NA,NA,NA,NA,1,NA,1,1,6,4,5,3,7,1,2,NA,1,0,0,0,1,0,0,0,0,0,1,2,NA,NA,2
25,73,2,7,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0,0,0,0,2,3,8,1,NA,NA,NA,NA,NA,NA,NA,1,6,5,3,3,5,1,1,2,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,1
26,32,2,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,5,2,NA,NA,NA,NA,NA,2,NA,NA,1,5,5,4,4,1,2,NA,0,0,0,0,0,0,1,0,0,0,6,1,2,NA,6
27,71,1,7,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,1,1,4,2,NA,NA,NA,NA,NA,NA,1,1,5,4,4,4,6,1,2,NA,1,1,0,0,0,0,1,0,0,0,4,1,2,NA,1
28,71,1,7,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,2,1,6,2,NA,NA,NA,NA,NA,NA,NA,2,6,5,7,1,9,1,1,1,1,0,0,0,1,0,0,0,0,0,1,2,NA,NA,1
29,49,2,7,1,0,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,1,0,0,0,0,0,0,3,2,6,3,NA,NA,NA,NA,2,1,NA,NA,3,4,7,3,4,1,2,NA,1,0,0,0,0,0,1,0,0,0,4,2,NA,NA,1
30,77,1,4,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,0,0,2,1,7,2,NA,NA,NA,NA,NA,NA,NA,2,6,5,5,4,5,1,2,NA,1,1,0,0,0,0,1,0,0,0,4,2,NA,NA,1
31,75,1,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,3,0,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,1,6,4,3,4,7,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,2
32,76,1,5,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,7,2,NA,NA,NA,NA,NA,NA,NA,2,6,4,3,4,5,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,2
33,60,2,7,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,2,4,2,NA,NA,NA,NA,1,NA,1,NA,1,3,5,3,7,1,2,NA,1,1,0,0,0,0,0,0,0,0,1,2,NA,NA,3
34,73,2,4,1,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,0,0,0,0,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,1,6,4,2,4,2,2,NA,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,6
35,59,1,7,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,0,0,0,0,0,0,1,1,6,1,NA,NA,NA,NA,NA,NA,1,NA,4,4,3,5,4,2,NA,NA,1,0,0,0,0,0,0,0,0,0,1,2,NA,NA,4
36,67,1,7,1,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,1,8,1,2,NA,0,1,1,0,0,0,0,0,0,0,1,1,1,1,2
39,63,1,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,3,3,7,3,NA,NA,NA,1,NA,NA,NA,NA,2,4,7,4,4,2,NA,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,2
40,78,1,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,8,1,NA,NA,NA,NA,NA,NA,NA,1,6,4,3,4,4,1,2,NA,0,1,0,0,0,0,1,0,0,0,4,2,NA,NA,5
42,59,1,5,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,1,1,0,0,0,0,0,1,1,9,2,NA,NA,NA,NA,NA,NA,2,NA,3,3,5,1,9,1,2,NA,0,1,1,0,1,0,0,0,0,0,1,1,1,3,1
44,72,1,4,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,3,7,2,NA,NA,NA,NA,NA,NA,NA,2,6,5,3,3,5,1,2,NA,1,1,0,0,1,0,0,0,0,0,1,2,NA,NA,1
46,71,1,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,2,4,5,1,2,NA,1,1,0,0,1,0,0,0,0,0,4,2,NA,NA,2
47,77,1,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,1,0,0,2,3,7,1,0,0,0,0,0,0,0,1,6,5,3,3,6,1,2,NA,1,1,0,0,1,0,0,0,0,0,1,2,NA,NA,6
48,50,1,7,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,9,3,NA,NA,NA,1,NA,NA,2,NA,1,4,6,4,6,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,1,3,NA,1
50,75,1,4,2,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,0,2,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,1,1,5,2,4,7,1,2,NA,1,0,0,0,1,0,0,0,0,0,1,2,NA,NA,2
51,68,1,5,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,0,0,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,2,5,5,3,1,5,2,NA,NA,0,1,1,0,0,0,0,0,0,0,1,1,1,2,1
52,67,1,5,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,0,0,1,2,5,2,NA,NA,NA,NA,NA,NA,1,1,6,4,5,1,8,1,2,NA,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1
55,70,1,4,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,5,2,8,1,NA,NA,NA,NA,NA,NA,NA,1,6,4,2,1,7,1,2,NA,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
56,76,1,7,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,0,0,0,0,0,2,2,9,2,NA,NA,NA,NA,NA,NA,NA,2,6,5,8,1,7,1,2,NA,1,1,0,0,1,0,0,0,0,0,1,2,NA,NA,2
57,52,2,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,1,5,2,NA,NA,NA,NA,1,NA,1,NA,2,4,5,4,5,1,2,NA,0,1,0,0,1,0,0,0,0,0,4,1,1,2,3
60,58,1,7,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,4,2,NA,NA,NA,NA,NA,NA,2,NA,1,5,6,1,8,1,2,NA,1,1,0,0,1,0,0,0,0,0,1,1,1,2,1
61,45,1,5,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,4,4,NA,NA,1,1,NA,2,NA,NA,2,5,5,3,7,1,2,NA,1,1,1,0,0,0,0,0,0,0,1,2,NA,NA,1
62,45,1,5,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,0,0,0,0,1,2,5,1,0,0,0,0,0,1,0,0,6,4,1,4,3,1,2,NA,1,1,0,0,0,0,0,0,0,0,4,2,NA,NA,1
63,78,2,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,4,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,1,0,0,0,0,0,1,1,5,1,NA,NA,NA,NA,NA,NA,NA,1,6,3,3,2,5,1,2,NA,1,1,0,0,1,0,0,0,0,0,1,2,NA,NA,1
64,73,2,4,1,1,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,1,1,0,0,0,0,1,2,7,1,NA,NA,NA,NA,NA,NA,NA,1,6,4,7,4,7,1,2,NA,1,1,0,0,0,0,0,0,1,0,4,2,NA,NA,1
65,78,1,4,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,0,3,1,7,2,NA,NA,NA,NA,NA,NA,NA,1,6,3,3,2,7,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,1
66,61,2,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,1,0,0,0,0,1,2,6,2,NA,NA,NA,NA,NA,NA,2,NA,6,5,7,1,9,1,2,NA,1,0,0,0,1,0,0,1,0,0,1,1,1,2,1
67,61,1,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,0,0,0,1,1,4,2,NA,NA,NA,NA,NA,NA,2,NA,4,5,5,1,8,1,2,NA,1,1,0,0,1,0,0,0,0,0,1,1,1,2,1
68,79,1,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,5,2,NA,NA,NA,NA,NA,NA,NA,2,6,5,5,4,4,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,5
69,61,2,5,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,6,2,NA,NA,NA,NA,NA,NA,2,NA,6,5,6,4,5,1,2,NA,0,0,0,0,0,0,0,1,0,0,3,1,3,NA,1
70,73,1,4,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,3,1,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,0,0,0,1,2,5,1,NA,NA,NA,NA,NA,NA,NA,1,6,5,1,4,2,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,6
71,76,2,5,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,8,1,NA,NA,NA,NA,NA,NA,NA,1,6,2,7,4,6,1,2,NA,0,0,1,0,0,0,0,0,0,0,4,2,NA,NA,2
72,66,1,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,1,8,1,2,NA,1,0,1,0,1,0,0,0,0,0,1,1,1,2,6
74,26,2,7,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,2,8,2,NA,NA,NA,1,1,NA,NA,NA,2,4,7,1,10,2,NA,NA,0,0,0,0,0,0,0,1,0,0,6,2,NA,NA,5
75,79,1,5,2,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,0,5,3,6,2,0,0,0,0,0,0,0,2,6,4,3,1,7,1,2,NA,1,1,0,0,1,0,0,0,0,0,1,2,NA,NA,2
76,70,1,4,1,1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,4,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,1,0,0,0,0,1,2,4,2,NA,NA,NA,NA,NA,NA,1,1,6,4,5,1,9,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2
79,64,2,4,2,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,2,9,2,0,0,0,0,0,0,1,1,6,5,7,1,9,1,2,NA,1,1,0,0,1,0,0,0,0,0,1,1,4,NA,3
80,74,2,7,1,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,3,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,1,1,3,2,NA,NA,NA,NA,NA,NA,NA,2,6,5,7,2,5,2,NA,NA,1,0,0,0,1,0,0,0,0,0,1,2,NA,NA,3
81,75,2,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,1,0,0,0,0,0,2,2,5,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,3,4,3,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,2,NA,NA,2
82,42,1,7,1,0,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,5,1,3,2,NA,NA,1,NA,NA,1,NA,NA,4,4,4,3,7,1,2,NA,0,1,1,0,0,0,0,0,0,0,1,2,NA,NA,1
83,70,1,7,1,1,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,7,2,NA,NA,NA,NA,NA,NA,NA,2,6,4,3,4,6,1,2,NA,0,0,0,0,0,0,1,0,0,0,4,1,2,NA,1
84,66,1,4,1,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,4,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,0,1,3,3,2,NA,NA,NA,NA,NA,NA,1,1,5,5,7,1,9,1,2,NA,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
85,66,1,5,1,1,1,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,1,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,2,1,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,0,0,0,0,0,0,0,1,1,3,1,NA,NA,NA,NA,NA,NA,1,NA,6,5,2,4,5,1,2,NA,1,0,0,0,0,0,0,0,0,0,1,1,3,NA,3
